platform,platform_org_id,state,likely_school_district,include_in_rollout,notes
boarddocs,oh/monroe,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/morganlocal,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/mthcs,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/mwu,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/nelsonvilleyork,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/newark,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/niles,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/northmont,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/nriegel,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/nrschools,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/nwoesc,OH,False,False,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending; ESC / career center / state agency per research pass - not a single K-12 district"
boarddocs,oh/oakwood,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/ohfa,OH,False,False,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending; ESC / career center / state agency per research pass - not a single K-12 district"
boarddocs,oh/ohschools,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/ohulsd,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/olenoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/orange,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/oregon,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/orrville,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/paint,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/parkway,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/parma,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/perkins,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/perry,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/perrysburg,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/piqua,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/plainoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/plsd,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/poland,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/prcsd,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/reyn,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/ripley,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/river,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/riverview,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/rlsd,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/root,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/ross,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/sandyoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/scoesc,OH,False,False,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending; ESC / career center / state agency per research pass - not a single K-12 district"
boarddocs,oh/sebring,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/shaker,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/shawnee,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/slsperry,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/solo,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/southeast,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/spencerville,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/stclairsville,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/steubenville,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/streetsboro,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/strongoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/swanton,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/swcsoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/swissohio,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/sycamore,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
