org_id,org_name,likely_school_district,include_in_rollout,state,county
1665,East Aurora School District 131,True,True,,
715,East Chambers ISD,True,True,,
2609,East China School District,True,True,,
1524,East Grand Forks Public Schools,True,True,,
1629,East Lansing Public Schools,True,True,,
2651,East Mississippi Community College,False,False,,
1688,East Moline School District 37,True,True,,
2279,East Mountain High School,True,True,,
1159,Eastern Carver County Schools,True,True,,
2786,Eastern Upper Peninsula Intermediate School District,True,True,,
3317,Eastland ISD,True,True,,
1944,Eastpointe Community Schools,True,True,,
1639,Eaton RESA,True,True,,
1749,ECHO Joint Agreement,False,False,,
1406,Ector County Independent School District,True,True,,
2492,Ector ISD,True,True,,
1455,Edcouch-Elsa ISD,True,True,,
2821,Eddyville Charter School,True,True,,
1816,Eden Valley-Watkins Schools,True,True,,
844,Edgewood ISD-Bexar County,True,True,,
1298,Edgewood ISD-Van Zandt County,True,True,,
2636,Edina Public Schools,True,True,,
1750,Edinburg Community Unit School District #4,True,True,,
1044,Edinburg Consolidated Independent School District,True,True,,
1614,Edna ISD,True,True,,
1949,Education Service Center Region 13,False,False,,
1988,"Education Service Center, Region 20",False,False,,
1670,Effingham Community Schools,True,True,,
901,El Campo Independent School District,True,True,,
2552,Electra Independent School District,True,True,,
2387,Elk Rapids Schools,True,True,,
1307,Elkhart ISD,True,True,,
2644,Elysian Fields ISD,True,True,,
3325,Emmons School District 33,True,True,,
862,Ennis ISD,True,True,,
846,Era ISD,True,True,,
2123,Española Public Schools District #55,True,True,,
1566,Estacada School District,True,True,,
2064,Estancia Municipal Schools,True,True,,
1549,Eugene School District 4J,True,True,,
722,Eustace ISD,True,True,,
2044,Evadale ISD,True,True,,
1479,Evanston Township High School District 202,True,True,,
1247,Evanston/Skokie School District 65,True,True,,
2017,Evansville Vanderburgh Public Library,False,False,,
1843,Evant ISD,True,True,,
1748,Evergreen Park Elementary SD124,False,False,,
1454,Everman ISD,True,True,,
3314,Exceptional Learners Collaborative,False,False,,
4068,Ezzell ISD,True,True,,
1346,Fabens ISD,True,True,,
695,Fairfield ISD,True,True,,
1937,Falls City ISD,True,True,,
1291,FALLS Education CO-OP,False,False,,
1125,Faribault Public Schools,True,True,,
1008,Farmersville ISD,True,True,,
1154,Farmington Municipal Schools,True,True,,
1087,Farmington Public Schools,True,True,,
1064,Fayetteville Independent School District,True,True,,
1427,FENTON COMMUNITY HIGH SCHOOL DISTRICT 100,True,True,,
1535,Fern Ridge SD 28J,False,False,,
1323,Ferndale Public Schools,True,True,,
2326,Ferris ISD,True,True,,
2038,First 5 LA,False,False,,
2119,First 5 Riverside,False,False,,
1609,Flat Rock Community Schools,True,True,,
1774,Flatonia ISD,True,True,,
1324,Flint Community Schools,True,True,,
1132,Floodwood School District #698,True,True,,
677,Florence Independent School District,True,True,,
1706,Floresville ISD,True,True,,
1439,Flour Bluff Independent School District,True,True,,
2287,Floydada Collegiate ISD,True,True,,
1823,Foley ISD 51,True,True,,
2021,Follett ISD,True,True,,
3194,Forest Grove School District,True,True,,
691,Forest Hills Public Schools,True,True,,
1059,Forest Lake Area Schools,True,True,,
4067,Forest Park Schools,True,True,,
637,Forney ISD,True,True,,
1249,Forrestville Valley School District 221,True,True,,
834,Forsan ISD,True,True,,
649,Fort Bend Independent School District,True,True,,
2300,Fort Hancock Independent School District,True,True,,
1984,Fort Sam Houston ISD,True,True,,
1150,Fort Smith Public Schools,True,True,,
733,Fort Worth ISD,True,True,,
2001,Four Rivers Special Education District,False,False,,
2308,Frank Phillips College,False,False,,
1726,Frankfort CUSD 168,False,False,,
3252,Franklin Community Schools,True,True,,
3218,Franklin Independent School District,True,True,,
2208,FRANKSTON ISD,True,True,,
1115,Fraser Public Schools,True,True,,
1088,"Frazee-Vergas Public Schools, ISD 23",True,True,,
2070,Frederic School District,True,True,,
825,Fredericksburg ISD,True,True,,
1317,Freeland Community School District,True,True,,
1001,Freer ISD,True,True,,
1732,Fremont School District No. 79,True,True,,
1114,Fridley Public Schools,True,True,,
2126,Friendship Public Charter School,True,True,,
3892,Friendswood ISD,True,True,,
1262,Friona ISD,True,True,,
2014,Frisco ISD,True,True,,
2331,Frost ISD,True,True,,
2482,Fruitport Community Schools,True,True,,
1938,Fruitvale ISD,True,True,,
1426,Gail Borden Public Library District,False,False,,
2214,Gainesville ISD,True,True,,
2586,Galena City School District,True,True,,
1860,Galena Park ISD,True,True,,
1505,Galveston College,False,False,,
1941,Galveston Independent School District,True,True,,
2306,Ganado ISD,True,True,,
3241,Garfield School District,True,True,,
1084,Garland Independent School District,True,True,,
730,Garner ISD,True,True,,
2055,Garrison ISD,True,True,,
884,Gary ISD,True,True,,
910,Gatesville ISD,True,True,,
1251,Gavin School District 37,True,True,,
913,Gaylord Community Schools,True,True,,
1667,Geneva CUSD 304,False,False,,
966,Georgetown ISD,True,True,,
1731,Georgetown-Ridge Farm Unit No.4,False,False,,
710,Giddings ISD,True,True,,
1768,Gilmer ISD,True,True,,
2202,Gladewater Independent School District,True,True,,
1363,Glasscock County ISD,True,True,,
2417,Glastonbury Public Schools,True,True,,
1309,Glen Ellyn School District 41,True,True,,
732,Glen Rose Independent School District,True,True,,
1729,Glenbard Township High School Dist #87,True,True,,
1234,Glencoe Public Library,False,False,,
4124,Globe Unified School District,True,True,,
2605,Godley ISD,True,True,,
2747,Gogebic Ontonagon Intermediate School District,True,True,,
780,Goldendale School District,True,True,,
881,Goldthwaite CISD,True,True,,
2600,Goliad ISD,True,True,,
950,Gonzales Independent School District,True,True,,
971,Goodhue County Education District,False,False,,
2502,Goodwill Central Texas/Excel,False,False,,
1195,Goose Creek CISD,True,True,,
1081,Gordon ISD,True,True,,
2393,GPM Life Insurance,False,False,,
987,Grady ISD,True,True,,
800,Graham ISD,True,True,,
772,Granbury ISD,True,True,,
3227,Grand Haven Area Public Schools,True,True,,
948,Grand Prairie Independent School District,True,True,,
824,Grand Saline ISD,True,True,,
3189,Grandfalls-Royalty Independent School District,True,True,,
1755,Grandview ISD,True,True,,
3041,Grandville Public Schools,True,True,,
1848,Granger ISD,True,True,,
2744,Granite School District,True,True,,
1751,Grant Community High School District 124,True,True,,
3326,Grant School District #3,True,True,,
2168,Granton Area School District,True,True,,
734,Grape Creek ISD,True,True,,
1198,Grapevine-Colleyville ISD,True,True,,
1371,Gratiot County Courthouse,False,False,,
1736,Grayslake CHSD 127,False,False,,
1233,Grayson College,False,False,,
763,Greasewood Springs Community Schools,True,True,,
2005,Greater Albany School District 8J,True,True,,
1219,Greenbush Middle River ISD 2683,True,True,,
682,Greenville Electric Utility System (GEUS),False,False,,
1948,Greenville ISD,True,True,,
729,Greenwood Independent School District,True,True,,
1396,Gregory-Portland ISD,True,True,,
3214,Gresham-Barlow School District,True,True,,
670,Groesbeck ISD,True,True,,
1884,Groom Independent School District,True,True,,
1334,Grosse Ile Township Schools,True,True,,
3296,Gulf Coast Protection District,False,False,,
1057,Gull Lake Community Schools,True,True,,
1238,Gunter ISD,True,True,,
1244,Gurnee School District 56,True,True,,
2278,Hale Center ISD,True,True,,
2193,Hallettsville ISD,True,True,,
1976,Hallsville ISD,True,True,,
1630,Hamilton Community Schools,True,True,,
951,Hamilton ISD,True,True,,
917,Hamlin Collegiate ISD,True,True,,
792,Hamshire-Fannett ISD,True,True,,
2645,Hancock County School District,True,True,,
2251,Happy ISD,True,True,,
1180,Harbor Springs Public Schools,True,True,,
1123,Hardin ISD,True,True,,
952,Hardin-Jefferson ISD,True,True,,
1981,Harlandale ISD,True,True,,
1725,Harlem Consolidated School District,True,True,,
1864,Harleton Independent School District,True,True,,
1015,Harlingen Consolidated Independent School District,True,True,,
942,Harmony ISD,True,True,,
1420,Harper Creek Community Schools,True,True,,
1638,Harper Woods School District,True,True,,
2161,Harrison County School Board,True,True,,
1264,Harrison School District 36,True,True,,
